input_text,number
['XTH0REK'],503.0
['ODABLOCK'],568.0
['HADIPLAYSMUSIC'],282.0
['SKILL4LTU'],608.0
['VICE'],380.0
['AUSTINEKELER'],126.0
['LETSHUGOTV'],1073.0
['BLACKUFA'],986.0
['FAIDE'],873.0
['PAPESAN'],744.0
['AYDAN'],2111.0
['JOSEDEODO'],503.0
['TUANZY'],225.0
['PIPEPUNK'],919.0
['ESL_CSGOD'],131.0
['SKYWHYWALKER'],1235.0
['KAYANETV'],120.0
['PLAYHARD'],1358.0
['CRITICAS_QLS'],401.0
['SEIKOSHA_TV'],9.0
['ZY0XXX'],729.0
['TONTON'],793.0
['凱琪 (APHROLIN1107)'],0.0
['PATHTOLCS'],161.0
['ANNAGAZANIS'],146.0
['LOL_NEMESIS'],1108.0
['RDCGAMING'],1095.0
['ゆゆうた押忍 (YUYUTA0702)'],0.0
['FCBAYERNBASKETBALL'],285.0
['MINERVA'],752.0
['OCWSPORT'],211.0
['YATORO21'],112.0
['TERRACID'],770.0
['JUJALAG'],833.0
['TANUKANA_'],50.0
['EUPROLEAGUE_EN'],37.0
['ROBINSONGZ'],274.0
['BILLYWILKINSOFFICIAL'],483.0
['ROSTISLAV_999'],1066.0
['DOUGDOUGW'],802.0
['ALEFTORREZ'],775.0
['SWEETDREAMS'],850.0
['PELICANGER'],576.0
['GRPZDC'],0.0
['CINENOVELERO'],33.0
['SACY'],678.0
['COCHISE'],146.0
['OTKNETWORK'],132.0
['IMAQTPIE'],1709.0
['NECROS'],545.0
['RAZAH'],397.0
['VIIBIIN'],92.0
['PREMIERTWO'],185.0
['DOGDOG'],485.0
['BETBOOM_ENG'],107.0
['FREEKBASS'],2.0
['METASHI12'],589.0
['MAYICHI'],1324.0
['LLUNACLARK'],926.0
['RIVENZI'],431.0
['LIZZZOGUB'],12.0
['RAINHOE'],294.0
['SHANKS_TTV'],667.0
['서새봄냥 (SADDUMMY)'],0.0
['TUTCHIO'],4.0
['GOLDENGUARDIANS'],45.0
['STEVEFORWARD'],3.0
['SAUDIESPORTS_'],11.0
['LNGLIVEOFFICIAL'],200.0
['ITSJSTN'],512.0
['MAZZATOMAS'],680.0
['NOTMES'],192.0
['SMOKEY'],64.0
['MOKRYSUCHAR'],524.0
['VEDAL987'],796.0
['플러리 (FLURRY1989)'],0.0
['SOSFANTALIVE'],181.0
['PERIDOTLOL'],595.0
['TA1YO_TV'],401.0
['MIXWELL'],1524.0
['DKAYED'],1015.0
['COLLEGECARBALL'],186.0
['BETHESDA_DE'],129.0
['GP_TV'],167.0
['THEYHATENESS'],20.0
['실프_ (SILPHTV)'],0.0
['CHILLEDCHAOS'],1026.0
